title,ratings,reviews,url,course_by,skills,price,id,"level, type and duration"
Microeconomics: The Power of Markets,4.7,13000,https://www.coursera.org/learn/microeconomics-part1,University of Pennsylvania,"Entrepreneurship, Market Research, Research and Design, Taxes, Critical Thinking",Free,157,Mixed · Course · 1-3 Months
Learn to Speak Korean 1,4.9,99000,https://www.coursera.org/learn/learn-speak-korean1,Yonsei University,Communication,Free,158,Beginner · Course · 1-3 Months
Approaching Music Theory: Melodic Forms and Simple Harmony,4.7,142,https://www.coursera.org/learn/melodic-forms-simple-harmony,California Institute of the Arts,"Business Analysis, Critical Thinking, Research and Design, Strategy and Operations",Free,159,Intermediate · Course · 1-3 Months
Operational Research for Humanitarians,4.8,32,https://www.coursera.org/learn/research-humanitarian,University of Geneva,,Free,160,Beginner · Course · 1-3 Months
The Arts and Science of Relationships: Understanding Human Needs,4.5,15000,https://www.coursera.org/learn/human-needs,University of Toronto,"Communication, Adaptability, Business Psychology, Change Management, Collaboration, Conflict Management, Decision Making, Emotional Intelligence, Entrepreneurship, Human Resources, Influencing, Leadership Development, Leadership and Management, People Development, Resilience, Culture, Planning, Problem Solving, Supply Chain and Logistics",Free,161,Beginner · Course · 1-3 Months
Introduction to Genetics and Evolution,4.8,14000,https://www.coursera.org/learn/genetics-evolution,Duke University,"Research and Design, Entrepreneurship, Leadership and Management, Problem Solving, Probability & Statistics, General Statistics, Mathematics",Free,162,Mixed · Course · 1-3 Months
American Contract Law I,4.9,815,https://www.coursera.org/learn/contracts-1,Yale University,"Contract Management, Strategy and Operations",Free,163,Beginner · Course · 1-3 Months
The Science of Stem Cells,4.7,25000,https://www.coursera.org/learn/stem-cells,American Museum of Natural History,,Free,164,Intermediate · Course · 1-3 Months
Bugs 101: Insect-Human Interactions,4.9,12000,https://www.coursera.org/learn/bugs-101,University of Alberta,"Epidemiology, Probability & Statistics",Free,165,Beginner · Course · 3-6 Months
Introduction to Augmented Reality and ARCore,4.5,36000,https://www.coursera.org/learn/ar,Google AR & VR,"Computer Vision, Human Computer Interaction, Machine Learning, User Experience, Business Psychology, Research and Design, User Experience Design",Free,166,Beginner · Course · 1-4 Weeks
Classical Sociological Theory,4.9,26000,https://www.coursera.org/learn/classical-sociological-theory,University of Amsterdam,,Free,167,Mixed · Course · 1-3 Months
Everyday Chinese Medicine,4.7,879,https://www.coursera.org/learn/everyday-chinese-medicine,The Chinese University of Hong Kong,,Free,168,Intermediate · Course · 1-3 Months
Foundations of Teaching for Learning: Curriculum,4.6,336,https://www.coursera.org/learn/teacher-curriculum,Commonwealth Education Trust,"Leadership and Management, Business Psychology, Entrepreneurship, Human Learning, Human Resources, People Development, Professional Development",Free,169,Mixed · Course · 1-3 Months
Introduction to Environmental Law and Policy,4.8,27000,https://www.coursera.org/learn/environmental-law,The University of North Carolina at Chapel Hill,,Free,170,Mixed · Course · 1-3 Months
RF and millimeter-Wave Circuit Design,4.7,155,https://www.coursera.org/learn/rf-mmwave-circuit-design,Eindhoven University of Technology,"Computer Architecture, Computer Networking, Network Architecture, Communication, Accounting, Computer Graphic Techniques, Computer Graphics, Hardware Design, Cyberattacks, Linear Algebra, Mathematics, Security Engineering, Journalism",Free,171,Intermediate · Course · 1-3 Months
How Software Ate Finance,4.7,105,https://www.coursera.org/learn/how-software-ate-finance,Stanford University,"Finance, FinTech, Accounting, Banking, BlockChain, Investment Management, Leadership and Management, Amazon Web Services, Big Data, Cloud Computing, Computer Networking, Computer Programming, Computer Programming Tools, Data Management, Entrepreneurship, Market Research, Network Security, Payments, Project Management, Regulations and Compliance, Research and Design, Securities Trading, Security Engineering, Strategy and Operations",Free,172,Mixed · Course · 1-3 Months
Negociación exitosa: Estrategias y habilidades esenciales (en español),4.8,24000,https://www.coursera.org/learn/negociacion,University of Michigan,"Business Analysis, Business Psychology, Communication, Entrepreneurship, Leadership and Management, Marketing, Negotiation, Sales, Strategy, Strategy and Operations",Free,173,Mixed · Course · 1-3 Months
"Anatomy of the Chest, Neck, Abdomen, and Pelvis",4.8,15000,https://www.coursera.org/learn/trunk-anatomy,Yale University,"Project Management, Strategy and Operations",Free,174,Intermediate · Course · 1-3 Months
International Law In Action: Investigating and Prosecuting International Crimes,4.8,579,https://www.coursera.org/learn/international-law-in-action-2,Universiteit Leiden,"Business Analysis, Critical Thinking, Research and Design, Strategy and Operations",Free,175,Mixed · Course · 1-3 Months
COVID-19 Training for Healthcare Workers,4.9,63000,https://www.coursera.org/learn/covid-19-training-healthcare,Stanford University,,Free,176,Mixed · Course · 1-3 Months
Mental Health and Resilience for Healthcare Workers,4.8,265,https://www.coursera.org/learn/health-resilience-healthcare-workers,University of Toronto,"Entrepreneurship, Business Psychology, Resilience, Leadership and Management, Human Resources, Organizational Development, Accounting, Audit, Business Process Management, Computer Programming, Programming Principles, Strategy and Operations",Free,177,Beginner · Course · 1-3 Months
Containerized Applications on AWS,4.7,82,https://www.coursera.org/learn/containerized-applications-on-aws,Amazon Web Services,"Amazon Web Services, Cloud Computing, Docker (Software), Kubernetes, Software Engineering, Cloud Applications, Computer Architecture, Distributed Computing Architecture, Front-End Web Development, Web Development, Communication, Journalism",Free,178,Beginner · Course · 1-4 Weeks
